College,Acronym,Type,Acc_Rate,Fee,international,out_of_state,in_state,Students,Sem_Quarter,Min_GPA,RANK,Location,SAT,AVG_SAT,ACT,AVG_ACT,LOR,App_Due_Date
Harvard University,N/A,ivy league,5,51925,,,,20823,semester,4.04,1,"Massachusetts, USA",optional but considered if submitted,1460-1580,optional but considered if submitted,33-35,required (2),1/1/21
Massachusetts Institute of Technology,MIT,private,6.7,53790,,,,11247,semester,3.96,2,"Massachusetts, USA",optional but considered if submitted,1500-1570,optional but considered if submitted,34-36,required (2),1/2/21
Stanford University,N/A,private,4.4,53529,,,,16135,semester,4.18,3,"California, USA",optional but highly recommended,1420-1570,optional but highly recommended,32-35,required (2),1/2/21
"University of California, Berkeley",Cal,public,14.8,,,43176,14184,41081,semester,3.86,4,"California, USA",suspended for 2020-21 admission cycle,1320-1530,suspended for 2020-21 admission cycle,31-35,neither required nor recommended,11/30/21
University of Oxford,Oxon,public,17.5,,29230,,12107,24515,quarter,3.7,5,"Oxford, United Kingdom",optional but considered if submitted,1470-1580,optional but considered if submitted,32-35,required (2),10/15/20
California Institute of Technology,Caltech,private,6.6,54600,,,,2240,semester,3.97,6,"California, USA",optional but considered if submitted,1530-1580,optional but considered if submitted,35-36,required (2),1/3/21
Columbia University,N/A,ivy league,5.9,61850,,,,27450,semester,3.91,7,"New York, USA",optional but considered if submitted,1450-1560,optional but considered if submitted,33-35,required (2),1/1/21
Princeton University,N/A,ivy league,5.5,51870,,,,7983,quarter,3.87,8,"New Jersey, USA",optional but considered if submitted,1440-1570,optional but considered if submitted,32-35,required (2),1/1/21
University of Cambridge,UC,public,21,,28540,,12148,19205,quarter,3.7,9,"Cambridge, United Kingdom",optional but considered if submitted,1400-1560,optional but considered if submitted,32-35,required (2),10/15/20
University of Washington,UW,public,48.7,,,,,45692,quarter,3.75,10,"Washington, USA",optional but considered if submitted,1220-1461,optional but considered if submitted,27-33,neither required nor recommended,11/16/20
John Hopkins University,N/A,private,11.5,55350,,,,16171,semester,3.74,11,"Maryland, USA",optional but considered if submitted,1450-1560,optional but considered if submitted,33-35,required (2),1/1/21
Yale University,N/A,ivy league,6.3,55500,,,,12402,semester,3.95,12,"Connecticut, USA",optional but highly recommended for certain majors,1460-1570,optional but highly recommended for certain majors,33-35,required (2),1/2/21
University of Chicago,Uchicago,private,7.3,59298,,,,16445,quarter,4,13,"Illinois, USA",optional but considered if submitted,1470-1570,optional but considered if submitted,33-35,required (2),1/2/21
"University of California, Los Angeles",UCLA,public,12,,,42218,13226,41908,quarter,4.29,14,"California, USA",suspended for 2020-21 admission cycle,1290-1520,suspended for 2020-21 admission cycle,28-34,neither required nor recommended,11/30/21
University of San Francisco,USF,private,64.6,50282,,,,10713,semester,3.61,15,"California, USA",optional but considered if submitted,1130-1330,optional but considered if submitted,23-29,required (2),1/15/21
University of Pennsylvania,UPENN,ivy league,8.4,57770,,,,20578,semester,3.9,16,"Philadelphia, USA",optional but highly recommended for certain majors,1420-1550,optional but highly recommended for certain majors,32-35,required (2),1/5/21
"University of Michigan, Ann Arbor",UMich,public,22.8,,,51200,15558,42982,quarter,3.82,17,"Michigan, USA",optional but considered if submitted,1330-1510,optional but considered if submitted,30-34,required (2),2/1/21
University of Toronto,Utoronto,public,43,,34665,,4999,73370,semester,3.8,18,"Toronto, Canada",optional but considered if submitted,1240-1540,optional but considered if submitted,26-32,neither required nor recommended,11/7/20
"University of California, San Diego",UCSD,public,32.3,,,43162,14170,33579,quarter,3.99,19,"California, USA",optional but highly recommended for certain majors,1300-1520,suspended for 2020-21 admission cycle,24-32,neither required nor recommended,11/30/20
Imperial College London,ICL,public,14.3,,23258,,12148,16570,semester,3.7,20,"London, United Kingdom",optional but considered if submitted,1200-1520,optional but considered if submitted,28-32,required (2),1/15/21
University College London,UCL,public,7,,23258,,12148,41180,quarter,3.5,21,"London, United Kingdom",optional but considered if submitted,1490-1520,optional but considered if submitted,32-35,recommended,3/31/20
Duke University,N/A,private,8.9,58198,,,,16606,semester,3.94,22,"North Carolina, USA",optional but considered if submitted,1450-1570,optional but considered if submitted,33-35,required (2),1/3/21
Cornell University,N/A,ivy league,10.6,57222,,,,22319,semester,3.9,23,"New York, USA",optional but considered if submitted,1390-1540,optional but considered if submitted,32-34,required (2),1/2/21
Northwestern University,N/A,private,8.5,56691,,,,17951,semester,3.92,24,"Illinois, USA",optional but considered if submitted,1430-1550,optional but considered if submitted,33-35,required (2),1/3/21
Swiss Federal Institute of Technology Zurich,ETH,public,27,,1350,,1350,18452,semester,3,25,"Zurich, Switzerland",neither required now recommended,N/A,neither required nor recommended,N/A,neither required nor recommended,12/15/20
University of Melbourne,UM,public,70,,28189,,6513,52475,semester,3.6,26,"Parkville, Australia",optional but considered if submitted,1330-1530,optional but considered if submitted,28-32,neither required nor recommended,12/31/20
University of Sydney,USYD,public,30,,28189,,6513,46145,semester,3,27,"Sydney, Australia",optional but considered if submitted,1200-1400,optional but considered if submitted,28-32,recommended,1/31/21
New York University,NYU,private,20,53308,,,,44466,semester,3.6,28,"New York, USA",optional but considered if submitted,1310-1510,optional but considered if submitted,29-34,required (2),1/5/21
University of Edinburgh,UOE,public,10,,30468,12148,2390,29220,semester,3,28,"Edinburgh, United Kingdom",optional but considered if submitted,1290-1490,optional but considered if submitted,27-31,required (2),1/15/21
University of British Columbia,UBC,public,52.4,,29548,4283,,53079,semester,3.2,30,"Vancouver, Canada",optional but considered if submitted,1500-1600,optional but considered if submitted,25-35,required (3),1/15/21
Washington University in St. Louis,WashU,private,15,55292,,,,13654,semester,3.92,31,"Missouri, USA",optional but considered if submitted,1470-1570,optional but considered if submitted,32-35,required (2),1/2/21
University of Copenhagen,UCPH,public,44,,,,-,37493,quarter,3,32,"Copenhagen, Denmark",neither required now recommended,N/A,neither required nor recommended,N/A,required (2),3/15/20
